n_grasp,semilla,score_grasp,score_vns,mejora_vns,t_grasp_s,t_vns_s,t_total_s
400,42,71.6,80.30000000000001,8.700000000000017,84.00458613600017,3.9949104929999066,87.99949662900008
20,55,63.300000000000004,67.39999999999999,4.099999999999987,3.526493500000015,2.746977013000105,6.27347051300012
50,55,71.39999999999999,80.4,9.000000000000014,9.114523255999984,16.52951231299994,25.644035568999925
100,55,71.39999999999999,80.4,9.000000000000014,19.71443778799994,16.74276562199998,36.45720340999992
150,55,71.69999999999999,76.3,4.6000000000000085,30.567512262000037,2.7272156340000038,33.29472789600004
250,55,71.69999999999999,76.3,4.6000000000000085,51.47244234599998,2.7999187380000876,54.27236108400007
400,55,71.69999999999999,76.3,4.6000000000000085,98.83785769699989,2.7310269179999977,101.56888461499989
20,71,67.19999999999999,76.1,8.900000000000006,5.0157278909998695,3.1540428870000596,8.16977077799993
50,71,67.4,67.4,0.0,10.788430526999946,14.834121409999852,25.6225519369998
100,71,71.39999999999999,80.30000000000001,8.90000000000002,21.409756506999884,3.4297607900000457,24.83951729699993
150,71,71.39999999999999,80.30000000000001,8.90000000000002,32.43366064099996,4.75092233700002,37.18458297799998
250,71,71.6,76.0,4.400000000000006,52.37613512300004,3.213611740000033,55.58974686300007
400,71,71.6,76.0,4.400000000000006,84.42358859599995,3.266395366999859,87.6899839629998
